name,ra,dec,category,detail,instrument
targ-76,103.18930823134005,-62.42165362878864,GMOS,GS-2026A-Q-133,GMOS
MAGIC30,103.87274746615338,-65.32865904010995,GMOS,GS-2025B-Q-324,GMOS
targ-75,108.25759822801366,-55.43882112952412,GMOS,GS-2026A-Q-133,GMOS
targ-73,110.91502626440008,-67.67682692880919,GMOS,GS-2026A-Q-133,GMOS
MAGIC33,110.96995691312122,-59.90613483575416,GMOS,GS-2025B-Q-324,GMOS
targ-72,111.25430025191869,-64.06606141395694,GMOS,GS-2026A-Q-133,GMOS
targ-71,112.76654590469171,-71.02121823356386,GMOS,GS-2026A-Q-133,GMOS
targ-70,113.01678686880093,-76.64838175651616,GMOS,GS-2026A-Q-133,GMOS
MAGIC34,114.53549635061053,-58.159764561842266,GMOS,GS-2025B-Q-324,GMOS
MAGIC35,114.70468074497492,-57.98288190265119,GMOS,GS-2025B-Q-324,GMOS
targ-69,114.79270165095024,-74.98003774220595,GMOS,GS-2026A-Q-133,GMOS
2M07395844-5722298,114.99352542171229,-57.37500151006526,GMOS,GS-2024B-Q-416,GMOS
MAGIC36,116.68250454684276,-67.48604169022806,GMOS,GS-2025B-Q-324,GMOS
targ-67,118.79720898134383,-61.81618130481096,GMOS,GS-2026A-Q-133,GMOS
targ-66,119.59983017828388,-55.17956060969378,GMOS,GS-2026A-Q-133,GMOS
targ-65,153.64050822954232,-1.753452990791215,GMOS,GS-2026A-Q-133,GMOS
2M11501827-1641302,177.57622660853062,-16.69170989149989,GMOS,GS-2024B-Q-416,GMOS
targ-64,185.8524127681938,-73.71988098399999,GMOS,GS-2026A-Q-133,GMOS
2M18395968-6341015,279.99872382215835,-63.68368638917887,GMOS,GS-2024B-Q-416,GMOS
2M19021546-6356474,285.56443594844416,-63.946541671900505,GMOS,GS-2024B-Q-416,GMOS
2M19321238-5827350,293.05158451643183,-58.459764861537366,GMOS,GS-2024B-Q-416,GMOS
Gaia DR3 6446446745351745792,293.09495319894626,-59.57746908852883,GMOS,GS-2024B-Q-416,GMOS
Gaia DR3 6688048413917807616,295.8498452285505,-43.31841660588922,GMOS,GS-2024B-Q-416,GMOS
2M19441248-4223381,296.0520321680197,-42.39392639693307,GMOS,GS-2024B-Q-416,GMOS
2M19470389-5441499,296.7662497769032,-54.697215910100624,GMOS,GS-2024B-Q-416,GMOS
GMOS-1150580,309.64357567968176,-58.7597731919802,GMOS,GS-2024A-FT-115,GMOS
GMOS-1997301,327.54987900079846,-55.234463176557874,GMOS,GS-2024A-FT-115,GMOS
GMOS-896093,350.2008363498847,-53.374068799839556,GMOS,GS-2024A-FT-115,GMOS
GMOS-3224408,350.39908210602255,-56.5711462714294,GMOS,GS-2024A-FT-115,GMOS
,209.50624999999997,12.851305555555555,Literature,SAGA_Bootes_II,
,209.53583333333333,12.854277777777778,Literature,SAGA_Bootes_II,
,209.5395833333333,12.857083333333334,Literature,SAGA_Bootes_II,
,209.4633333333333,12.860166666666666,Literature,SAGA_Bootes_II,
,209.49916666666664,12.907250000000001,Literature,SAGA_Bootes_II,
,209.48416666666662,12.868805555555555,Literature,SAGA_Bootes_II,
,209.94045833333328,14.431277777777778,Literature,SAGA_Bootes_I,
,210.09099999999998,14.4315,Literature,SAGA_Bootes_I,
,210.0480833333333,14.43225,Literature,SAGA_Bootes_I,
,210.10762499999998,14.435444444444444,Literature,SAGA_Bootes_I,
,210.09724999999997,14.435555555555556,Literature,SAGA_Bootes_I,
,210.023375,14.438583333333334,Literature,SAGA_Bootes_I,
